2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:51		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
